1518706531303, 0.061, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518706531455, 0.122, -0.732, 0.305, METAWEAR, SENSOR_GYRO
1518706531503, 0.061, -0.61, 0.183, METAWEAR, SENSOR_GYRO
1518706531655, 0.122, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518706531703, 0.061, -0.549, 0.244, METAWEAR, SENSOR_GYRO
1518706531855, 0.061, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518706531953, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518706532053, 0.122, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518706532103, 0, -0.671, 0.366, METAWEAR, SENSOR_GYRO
1518706532253, 0.122, -0.793, 0.305, METAWEAR, SENSOR_GYRO
1518706532303, 0.061, -0.732, 0.366, METAWEAR, SENSOR_GYRO
1518706532453, 0.061, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518706532503, 0.061, -0.732, 0.427, METAWEAR, SENSOR_GYRO
1518706532653, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518706532703, 0.122, -0.732, 0.244, METAWEAR, SENSOR_GYRO
1518706532903, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518706532953, 0.122, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518706533103, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518706533154, 0.122, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518706533404, 0.061, -0.732, 0.244, METAWEAR, SENSOR_GYRO
1518706533553, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518706533604, 0.061, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518706533753, 0.061, -0.732, 0.366, METAWEAR, SENSOR_GYRO
1518706533803, 0.122, -0.732, 0.366, METAWEAR, SENSOR_GYRO
1518706534003, 0.122, -0.61, 0.122, METAWEAR, SENSOR_GYRO
1518706534054, 0.122, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518706534203, 0.061, -0.732, 0.427, METAWEAR, SENSOR_GYRO
