1518705166125, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705166168, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705166172, -0.61, -0.549, 0, METAWEAR, SENSOR_GYRO
1518705166218, -0.488, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705166225, -0.549, -0.366, 0.061, METAWEAR, SENSOR_GYRO
1518705166228, -0.732, -0.427, 0.122, METAWEAR, SENSOR_GYRO
1518705166270, -0.671, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705166271, -0.549, -0.427, -0.061, METAWEAR, SENSOR_GYRO
1518705166322, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705166323, -0.549, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705166325, -0.549, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705166367, -0.549, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705166371, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705166418, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705166424, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705166425, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705166469, -0.671, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705166471, -0.671, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705166523, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705166529, -0.488, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705166540, -0.549, -0.549, 0, METAWEAR, SENSOR_GYRO
1518705166569, -0.671, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705166574, -0.549, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705166622, -0.549, -0.488, -0.061, METAWEAR, SENSOR_GYRO
1518705166631, -0.671, -0.366, 0, METAWEAR, SENSOR_GYRO
1518705166633, -0.61, -0.366, 0.183, METAWEAR, SENSOR_GYRO
1518705166671, -0.61, -0.427, 0.122, METAWEAR, SENSOR_GYRO
1518705166672, -0.671, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705166722, -0.61, -0.488, -0.061, METAWEAR, SENSOR_GYRO
1518705166725, -0.549, -0.488, -0.061, METAWEAR, SENSOR_GYRO
1518705166733, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705166769, -0.671, -0.549, -0.061, METAWEAR, SENSOR_GYRO
1518705166774, -0.61, -0.488, -0.061, METAWEAR, SENSOR_GYRO
1518705166818, -0.549, -0.366, 0, METAWEAR, SENSOR_GYRO
1518705166823, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705166825, -0.549, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705166921, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705166922, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705166926, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705166927, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705166929, -0.61, -0.549, 0, METAWEAR, SENSOR_GYRO
1518705166968, -0.61, -0.549, -0.061, METAWEAR, SENSOR_GYRO
1518705166973, -0.61, -0.549, 0, METAWEAR, SENSOR_GYRO
1518705167019, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705167026, -0.549, -0.488, -0.061, METAWEAR, SENSOR_GYRO
1518705167027, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705167072, -0.671, -0.427, 0.122, METAWEAR, SENSOR_GYRO
1518705167074, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705167122, -0.671, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705167123, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705167126, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705167167, -0.61, -0.427, -0.061, METAWEAR, SENSOR_GYRO
1518705167171, -0.549, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705167218, -0.61, -0.549, 0, METAWEAR, SENSOR_GYRO
1518705167225, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705167226, -0.549, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705167271, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705167272, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705167319, -0.61, -0.366, 0.061, METAWEAR, SENSOR_GYRO
1518705167321, -0.549, -0.366, 0.061, METAWEAR, SENSOR_GYRO
1518705167324, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705167368, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
